  EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  213         3.1600000000000244E+008         3.6214404508102699E-001         3.6214329223828767E-001         3.5274017715715584E+000         4.9275130337415334E+000        -1.8663730460764831E+000         1.7000000000000001E-001            0.237018           13.689571           12.764550           11.444501           10.337613            8.942752            7.562717            6.916867            6.709938           10.353121           12.057256           11.411036           12.964565           11.666819           10.341647           11.711974            9.233649           10.330224           11.667995           11.709410            9.211406            9.148690           10.349681           11.687508            9.209705            0.000000
  214         3.1600000000000244E+008         3.7385174772591062E-001         3.7385096069281409E-001         3.5326733683252156E+000         4.9221707485122481E+000        -1.8262553546545579E+000         1.7000000000000001E-001            0.236972           13.513432           12.578539           11.264299           10.180208            8.823008            7.476809            6.826595            6.621422           10.210098           11.877841           11.241121           12.783249           11.483635           10.205312           11.531729            9.111135           10.192357           11.487872           11.529520            9.089111            9.030700           10.211879           11.507215            9.087641            0.000000
  215         3.1600000000000244E+008         3.8253089485366920E-001         3.8253008231305158E-001         3.5361352249992297E+000         4.9175884375431220E+000        -1.7978412418519061E+000         1.7000000000000001E-001            0.236939           13.394955           12.452658           11.141611           10.071954            8.739949            7.415472            6.762252            6.558309           10.111252           11.755968           11.124892           12.660841           11.358967           10.110798           11.409023            9.025888           10.096875           11.365247           11.407063            9.004007            8.948365           10.116440           11.384473            9.002711            0.000000
  216         3.1600000000000244E+008         3.9452872322453830E-001         3.9452787472217138E-001         3.5406127034132782E+000         4.9105519043421682E+000        -1.7595027855602707E+000         1.7000000000000001E-001            0.236901           13.239971           12.286801           10.978905            9.927595            8.629160            7.332554            6.675306            6.473113            9.979225           11.594713           10.970434           12.500093           11.193665            9.984406           11.246330            8.911815            9.969249           11.202659           11.244715            8.890118            8.838043            9.988870           11.221722            8.889075            0.000000
  217         3.1600000000000244E+008         4.2063734146347759E-001         4.2063641112106148E-001         3.5483910608264990E+000         4.8920114358037727E+000        -1.6828744859112659E+000         1.7000000000000001E-001            0.236820           12.952143           11.975721           10.669960            9.649916            8.413269            7.164765            6.499712            6.301067            9.723784           11.289381           10.675808           12.200111           10.880109            9.738984           10.937544            8.688874            9.721696           10.894057           10.936611            8.667496            8.621652            9.741423           10.912796            8.666976            0.000000
  218         3.1600000000000244E+008         4.5434310057280036E-001         4.5434205685686541E-001         3.5565230271235961E+000         4.8641394376632814E+000        -1.5891917274645733E+000         1.7000000000000001E-001            0.236707           12.632928           11.624184           10.314839            9.324975            8.157277            6.957318            6.282127            6.087423            9.423025           10.940784           10.334586           11.863473           10.520205            9.448746           10.582724            8.423541            9.429358           10.539424           10.582638            8.402490            8.363056            9.449196           10.557781            8.402654            0.000000
  219         3.1600000000000244E+008         4.8772803006314130E-001         4.8772686540864535E-001         3.5637494286887708E+000         4.8342679063465415E+000        -1.4989477245565401E+000         1.7000000000000001E-001            0.236588           12.342683           11.299681            9.985025            9.020226            7.915084            6.756109            6.070356            5.880096            9.139529           10.618540           10.016118           11.553570           10.186088            9.174381           10.253191            8.171926            9.153256           10.210058           10.253922            8.151153            8.117194            9.173198           10.228068            8.151998            0.000000
  220         3.1600000000000244E+008         5.1031467296347521E-001         5.1031341367103167E-001         3.5689277922997364E+000         4.8132622625614747E+000        -1.4379666843216272E+000         1.7000000000000001E-001            0.236500           12.146132           11.077987            9.760118            8.812622            7.751849            6.620929            5.927419            5.741158            8.946466           10.399575            9.798777           11.342356            9.957991            8.987617           10.028435            8.001558            8.965324            9.985425           10.029750            7.980978            7.950757            8.985344           10.003199            7.982331            0.000000
  221         3.1600000000000244E+008         5.3208145811060459E-001         5.3208010394856864E-001         3.5739265424999953E+000         4.7931292200726139E+000        -1.3792831086722208E+000         1.7000000000000001E-001            0.236410           11.956226           10.865095            9.546165            8.615013            7.595533            6.490301            5.789518            5.607914            8.761798           10.191066            9.591603           11.138947            9.740801            8.808687            9.814551            7.838260            8.785345            9.771668            9.816401            7.817857            7.791021            8.805443            9.789232            7.819700            0.000000
  222         3.1600000000000244E+008         5.5375418880412941E-001         5.5375272581667112E-001         3.5793664987414724E+000         4.7729815381689296E+000        -1.3203340277730671E+000         1.7000000000000001E-001            0.236325           11.762205           10.646582            9.328507            8.414358            7.438700            6.359842            5.651418            5.475809            8.574163            9.979571            9.380586           10.930349            9.519451            8.626942            9.596865            7.673439            8.602554            9.554125            9.599262            7.653221            7.629820            8.622739            9.571473            7.655613            0.000000
